優先順位	ブランド（屋号）名	店舗名	店舗名ひらがな	カテゴリ分類	取り扱いブランド	他表記	サイズ	カテゴリ	注記	地区マスタ	郵便番号	都道府県	住所1	住所2	電話番号	路面店	営業時間	地図画像		経理表記				経理最新DB	郵便番号	住所１　　　　　　　　　　　　　　　　　	住所２　　　　　　　　　　 	電話番号 			店舗名　　　　　　　　　　　　　　　　　			丸井	イオン	髙島屋
	PPFM	鹿児島アミュプラザ	かごしまあみゅぷらざ	メンズ	PPFM	紳士,紳士服,男,男性,MAN,MEN,MEN'S,MENS		メンズ		九州地区	890-0053	鹿児島県	鹿児島市中央町１－１	アミュプラザ鹿児島　3Ｆ	099-213-8825					ＰＰＦＭ　アミュ鹿児島　　　　　　　　　		0	新規	ＰＰＦＭ　アミュ鹿児島　　　　　　　　　	890-0053	鹿児島県鹿児島市中央町１－１　　　　　　	アミュプラザ鹿児島　３Ｆ　　　	099-213-8825   			ＰＰＦＭ　アミュ鹿児島　　　　　　　　　	1987001035				
	コムサコミューン	渋谷マルイシティ	しぶやまるいしてぃ	メンズ	コムサコミューン	紳士,紳士服,男,男性,MAN,MEN,MEN'S,MENS		メンズ		東京地区	150-0041	東京都	渋谷区神南1-21-3	マルイシティ渋谷店 8Ｆ	03-5728-2625					コムサコミューン　マルイシティ渋谷　　　		0	新規	コムサコミューン　マルイシティ渋谷　　　	150-0041	東京都渋谷区神南１－２１－３　　　　　　	㈱丸井　マルイシティ渋谷　８Ｆ	03-5728-2625   			コムサコミューン　マルイシティ渋谷　　　	1901901455		1		
	ペイトンプレイス	青山　　　　　　　　　	あおやま	レディース	ペイトンプレイス	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S,大きいサイズ,小さいサイズ		レディス(大きいサイズと小さいサイズもあわせて展開しております。)	※TAX FREE　	東京地区	107-0062	東京都	港区南青山３－１８－１４　　　　　	南青山スリービル　１Ｆ　　　　	03-5775-1516   	1	営業時間11：00～20：00	pp_aoyama		ペイトンプレイス　青山　　　　　　　　　		0	新規	ペイトンプレイス　青山　　　　　　　　　	107-0062	東京都港区南青山３－１８－１４　　　　　	南青山スリービル　１Ｆ　　　　	03-5775-1516   			ペイトンプレイス　青山　　　　　　　　　	1900106001				
	コムサフォセット	新宿伊勢丹	しんじゅくいせたん	キッズ	コムサフォセット,アルチザン(BABY)	子供,子供服,チャイルド,チルドレン,こども,こどもふく,CHILDREN,CHILD,トドラー,幼児,ボーイズ,ガールズ,男の子,女の子		ベビー		東京地区	160-0022	東京都	新宿区新宿3-14-1	伊勢丹本店本館 6Ｆ	03-3355-0673					コムサフォセット　新宿伊勢丹　　　　　　		0	新規	コムサフォセット　新宿伊勢丹　　　　　　	160-0022	東京都新宿区新宿３－１４－１　　　　　　	㈱三越伊勢丹　新宿本店本館６Ｆ	03-3355-0673   			コムサフォセット　新宿伊勢丹　　　　　　	1900701004				
	コムサフィユ・プラチナ	新宿高島屋	しんじゅくたかしまや	キッズ	コムサフィユ,アルチザン(CHILDREN),コムサフォセット	子供,子供服,チャイルド,チルドレン,こども,こどもふく,CHILDREN,CHILD,トドラー,幼児,ボーイズ,ガールズ,男の子,女の子		キッズ,ベビー		東京地区	151-8580	東京都	渋谷区千駄ヶ谷5-24-2	高島屋新宿店タイムズスクエア 9Ｆ	03-5362-7879					コムサフィユプラチナ（子供）　新宿髙島屋		0	新規	コムサフィユプラチナ（子供）　新宿髙島屋	151-8580	東京都渋谷区千駄ヶ谷５－２４－２　　　　	㈱髙島屋新宿店タイムス゛スクエ	03-5362-7879   			コムサフィユプラチナ（子供）　新宿髙島屋	1901601030				1
	アルチザン・コムサ	名古屋三越	なごやみつこし	キッズ	アルチザン(CHILDREN),コムサフィユ,コムサフォセット	子供,子供服,チャイルド,チルドレン,こども,こどもふく,CHILDREN,CHILD,トドラー,幼児,ボーイズ,ガールズ,男の子,女の子		キッズ,ベビー		東海地区	460-8669	愛知県	名古屋市中区栄3-5-1	三越名古屋栄店 7Ｆ	052-259-1669					アルチザン（子供）　名古屋三越　　　　　		0	新規	アルチザン（子供）　名古屋三越　　　　　	460-8669	愛知県名古屋市中区栄３－５－１　　　　　	㈱三越　名古屋栄店　７Ｆ　　　	052-259-1669   			アルチザン（子供）　名古屋三越　　　　　	1944101020				
	コムサフィユ	沖縄リウボウ	おきなわりうぼう	キッズ	コムサフィユ,コムサブロンドオフ	子供,子供服,チャイルド,チルドレン,こども,こどもふく,CHILDREN,CHILD,トドラー,幼児,ボーイズ,ガールズ,男の子,女の子,妊婦,MATERNITY,マタニティ		キッズ,ベビー,マタニティ		九州地区	900-8503	沖縄県	那覇市久茂地1-1-1	リウボウ 8Ｆ	098-860-1701					コムサフィユ　沖縄リウボウ　　　　　　　		0	新規	コムサフィユ　沖縄リウボウ　　　　　　　	900-8503	沖縄県那覇市久茂地１－１－１　　　　　　	㈱リウホ゛ウインタ゛ストリ―　	098-860-1701   			コムサフィユ　沖縄リウボウ　　　　　　　	1989600160				
	コムサブロンドオフ	広島そごう	ひろしまそごう	レディース	,コムサブロンドオフ,アルチザン・ウフ	妊婦,MATERNITY,マタニティ		マタニティ		中国・四国地区	730-8501	広島県	広島市中区基町6-27	そごう広島店本館 6Ｆ	082-502-3801					コムサブロンドオフ　広島そごう　　　　　		0	新規	コムサブロンドオフ　広島そごう　　　　　	730-8501	広島県広島市中区基町６－２７　　　　　㈱	そごう・西武　そごう広島店本館	082-502-3801   			コムサブロンドオフ　広島そごう　　　　　	1960902010				
	コムサブロンドオフ&ベビー	福岡岩田屋	ふくおかいわたや	レディースキッズ	コムサブロンドオフベビー(WOMEN),コムサブロンドオフ,コムサフォセット,アルチザン・ウフ,コムサブロンドオフベビー(CHILDREN)	妊婦,MATERNITY,BABY,赤ちゃん,新生児,幼児,ベビー服,マタニティ		マタニティ,ベビー		九州地区	810-8680	福岡県	福岡市中央区天神2-5-35	岩田屋本店本館 6Ｆ	092-716-1537					コムサブロンドオフ＆ベビー　福岡岩田屋　		0	新規	コムサブロンドオフ＆ベビー　福岡岩田屋　	810-8680	福岡県福岡市中央区天神２－５－３５　　　	㈱岩田屋三越　岩田屋本店本館６	092-716-1537   			コムサブロンドオフ＆ベビー　福岡岩田屋　	1980500145				
	ベータ	銀座路面	ぎんざろめん	レディース	ベータ	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S		レディス	※TAX FREE　　	東京地区	104-0061	東京都	中央区銀座3-3-13　1Ｆ		03-3538-7326	1	営業時間11：00～20：00	beta_ginza		ベータ　銀座路面　　　　　　　　　　　　		0	新規	ベータ　銀座路面　　　　　　　　　　　　	104-0061	東京都中央区銀座３－３－１３　１Ｆ　　　	　　　　　　　　　　　　　　　	03-3538-7326   			ベータ　銀座路面　　　　　　　　　　　　	1900105101				
	バジーレ28 ベータ	札幌丸井今井	さっぽろまるいいまい	レディース	バジーレ28,ベータ	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S		レディス		北海道地区	060-8667	北海道	札幌市中央区南一条西2丁目11番	丸井今井札幌店大通館 5Ｆ	011-205-2403					プレシャスミックス　札幌丸井今井　　　　		0	新規	プレシャスミックス　札幌丸井今井　　　　	060-0061	北海道札幌市中央区南一条西２丁目１１番　	㈱札幌丸井今井大通館　５Ｆ　　	011-205-2403   			プレシャスミックス　札幌丸井今井　　　　	1910600130				
	プレシャスミックス	船橋東武	ふなばしとうぶ	レディース	プレシャスミックス,バジーレ28,ギャバジンK.T,ベータ	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S		レディス,バジーレ28,ギャバジンＫ.Ｔ,ベータ		東京地区	273-0005	千葉県	船橋市本町7-1-1	東武百貨店船橋店4Ｆ	047-460-2780					プレシャスミックス　船橋東武　　　　　　		0	新規	プレシャスミックス　船橋東武　　　　　　	273-8567	千葉県船橋市本町７－１－１　　　　　　　	（株）東武百貨店船橋店４Ｆ　　	047-460-2780   			プレシャスミックス　船橋東武　　　　　　	1905200170				
	ボナジョルナータ	錦糸町丸井	きんしちょうまるい	レディース	ボナジョルナータ(WOMEN)	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S		レディス		東京地区	130-0022	東京都	墨田区江東橋３－９－１０          	㈱丸井　錦糸町店３Ｆ          	03-5625-3020   									錦糸町丸井ＢＵＯＮＡ	130-0022	東京都墨田区江東橋３－９－１０          	㈱丸井　錦糸町店３Ｆ          	03-5625-3020   			ボナジョルナータ（Ｌ）　錦糸町丸井	1901905440				
	コムサマチュア	自由が丘マスト　　　　　	じゆうがおかますと	レディース	コムサマチュア	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S		レディス		東京地区	158-0083	東京都	世田谷区奥沢５－２６－１５　　　　	自由が丘ＭＡＳＴ　１Ｆ　　　　	03-5731-5010   					コムサマチュア　マスト自由が丘　　　　　		0	新規	コムサマチュア　マスト自由が丘　　　　　	158-0083	東京都世田谷区奥沢５－２６－１５　　　　	自由が丘ＭＡＳＴ　１Ｆ　　　　	03-5731-5010   			コムサマチュア　マスト自由が丘　　　　　	1901431010				
	パープル＆イエロー	新宿マルイメン	しんじゅくまるいめん	メンズ	パープル&イエロー(MEN)	紳士,紳士服,男,男性,MAN,MEN,MEN'S,MENS		メンズ		東京地区	160-0022	東京都	新宿区新宿5-16-4	丸井新宿マルイメン 3F	03-5360-7122					パープル＆イエロー　新宿マルイメン　　　		0	新規	パープル＆イエロー　新宿マルイメン　　　	160-0022	東京都新宿区新宿５－１６－４　　　　　　	㈱丸井　新宿マルイメン　３Ｆ　	03-5360-7122   			パープル＆イエロー　新宿マルイメン　　　	1901900141		1		
	ＭＯＮＯ	鹿児島アミュプラザ	かごしまあみゅぷらざ	雑貨	MONO,モノコムサ	雑貨		モノコムサ		九州地区	890-0053	鹿児島県	鹿児島市中央町１－１　　　　　　	アミュプラザ　２Ｆ　　　　　　	099-812-7051   					ＭＯＮＯ　鹿児島アミュ　　　　　　　　　		0	新規	ＭＯＮＯ　鹿児島アミュ　　　　　　　　　	890-0053	鹿児島県鹿児島市中央町１－１　　　　　　	アミュプラザ　２Ｆ　　　　　　	099-812-7051   			ＭＯＮＯ　鹿児島アミュ　　　　　　　　　	1987001050				
	コムサイズム	具志川サンエー	ぐしかわさんえー	ファミリー	コムサイズム(FAMILY),コムサイズム(WOMEN),コムサイズム(MEN),コムサイズム(CHILDREN),BG,モノコムサ	BABY,赤ちゃん,新生児,幼児,ベビー服		レディス,メンズ,キッズ,ベビー,モノコムサ		九州地区	904-2244	沖縄県	うるま市江洲450-1	サンエー具志川メインシティ1Ｆ	098-982-6305					コムサイズム　具志川サンエー　　　　　　		0	新規	コムサイズム　具志川サンエー　　　　　　	904-2244	沖縄県うるま市江洲４５０－１　　サンエー	具志川メインシティ　１Ｆ　　　	098-982-6305   			コムサイズム　具志川サンエー　　　　　　	1989401010				
	コムサスタイル	新宿マルイアネックス	しんじゅくまるいあねっくす	レディース、メンズ	コムサスタイル(FAMILY),コムサスタイル(WOMEN),コムサスタイル(MEN),コムサイズム(FAMILY),コムサイズム(WOMEN),コムサイズム(MEN),BG,モノコムサ	紳士,紳士服,男,男性,MAN,MEN,MEN'S,MENS,婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S		レディス,メンズ,モノコムサ		東京地区	160-0022	東京都	新宿区新宿3-1-26	新宿マルイアネックス　4F	03-5363-5032					コムサスタイル　新宿丸井アネックス　　　		0	新規	コムサスタイル　新宿丸井アネックス　　　	160-0022	東京都新宿区新宿３－１－２６　　　　　　	㈱丸井　新宿マルイアネックス　	03-5363-5032   			コムサスタイル　新宿丸井アネックス　　　	1901900350		1		
	コムサストア	福山ロッツ	ふくやまろっつ	ファミリー	コムサストア(FAMILY),コムサストア(WOMEN),コムサストア(MEN),コムサストア(CHILDREN),コムサイズム(FAMILY),コムサイズム(WOMEN),コムサイズム(MEN),コムサイズム(CHILDREN),ボナジョルナータ,コムサコミューン,BG,モノコムサ,PPFM	BABY,赤ちゃん,新生児,幼児,ベビー服		レディス,メンズ,キッズ,ベビー,モノコムサ,ボナジョルナータ,コムサコミューン,PPFM		中国・四国地区	720-0067	広島県	福山市西町1-1-1	福山ＬＯＴＺ1Ｆ	084-973-0715					コムサストア　福山　　　　　　　　　　　		0	新規	コムサストア　福山　　　　　　　　　　　	720-0067	広島県福山市西町１－１－１　　　　　　　	福山ＬＯＴＺ　１Ｆ　　　　　　	084-973-0715   			コムサストア　福山　　　　　　　　　　　	1968001010				
	コムサイズム	鹿島ピオ	かしまびお	ファミリー		FC,BABY,赤ちゃん,新生児,幼児,ベビー服		レディース,メンズ,キッズ,ベビー,モノコムサ	※メンバーズカードシステムに違いがございます。	九州地区	849-1311	佐賀県	鹿島市大字高津原４３２６－１	ピオ　１Ｆ	0954-63-9488	DISPLAY				コムサイズム　鹿島ピオ                  		0	新規	コムサイズム　鹿島ピオ                  	849-1311	佐賀県鹿島市大字高津原４３２６－１      	ピオ　１Ｆ                    	0954-63-9488   				1589220101				
